USE,PROGRAM_NAME,ALIAS,PROGRAM_VERSION,PROGRAM_INSTALL,COMMENT,NEEDS,DOCS
___,___,___,___,"___","___","___","___"
___,asm,"cargo-asm",___,"cargo install cargo-asm","rust assembly-viewer","cargo,zsh","https://github.com/gnzlbg/cargo-asm"
___,cargo,___,___,"<see>https://rustup.rs<\see>","rust cli manager","rustc","https://github.com/rust-lang/cargo"
___,choose,___,___,"cargo install choose","cli snippet-selector","zsh","https://github.com/theryangeary/choose"
___,committed,___,___,"cargo install committed","git commit-check","zsh","https://github.com/crate-ci/committed"
___,dist,___,___,"cargo install cargo-dist --locked","rust distribution","cargo,zsh","https://opensource.axo.dev/cargo-dist/book/install.html"
___,fd,___,___,"cargo install fd-find","cli file-search","zsh","https://github.com/sharkdp/fd"
___,git-cliff,___,___,"cargo install git-cliff","ci/cd changelog-generator","zsh","https://git-cliff.org/docs/"
___,hyperfine,___,___,"cargo install --locked hyperfine","cli benchmark","zsh","https://github.com/sharkdp/hyperfine"
___,insta,cargo-insta,___,"cargo install cargo-insta","rust snapshot-viewer","cargo,zsh","https://insta.rs/docs/cli/"
___,just,justfile,___,"cargo install just","runner","zsh","http://just.systems/man/en/"
___,jql,___,___,"cargo install jql","cli json-querier","zsh","https://medium.com/short-bits/jql-rust-based-json-query-language-ed1d7c6a1ae0"
___,machete,"cargo-machete",___,"cargo install cargo-machete","rust dependency-winnower","cargo,zsh","https://github.com/bnjbvr/cargo-machete"
___,nextest,cargo-nextest,___,"cargo install cargo-nextest --locked","rust tester","cargo,zsh","https://nexte.st"
___,pgo,"cargo-pgo",___,"cargo install cargo-pgo","rust profile-guided-optimizer","cargo,zsh","https://github.com/Kobzol/cargo-pgo"
___,release,"cargo-release",___,"$ cargo install cargo-release","rust release-helper","cargo,zsh","https://github.com/crate-ci/cargo-release"
___,rg,ripgrep,___,"cargo install ripgrep","cli regex-text-search","zsh","https://github.com/BurntSushi/ripgrep"
___,rye,"astral-rye",___,"cargo install --git https://github.com/astral-sh/rye rye","python rust-interfacing-manager","python,rust,zsh","https://rye.astral.sh"
___,sd,___,___,"cargo install sd","cli regex-replace","zsh","https://github.com/chmln/sd"
___,sqlx-cli,___,___,"cargo install sqlx-cli --no-default-features --features rustls<see>add support as needed<\see>","sqlx accessory","rust,sqlx,zsh","https://github.com/launchbadge/sqlx/tree/main/sqlx-cli"
___,tokio-console,___,___,"cargo install --locked tokio-console","rust tracing-live-viewer","zsh","https://github.com/tokio-rs/console"
___,typos,typos-cli,___,"cargo install typos-cli","ci/cd spell-check","zsh","https://github.com/crate-ci/typos"
___,watch,cargo-watch",___,"cargo install cargo-watch --locked","rust on-change-executor","cargo,zsh","https://github.com/watchexec/cargo-watch"
___,xh,xhs,___,"cargo install xh --locked","cli http-call","zsh","https://github.com/ducaale/xh"
___,xsv,___,___,"cargo install xsv","cli csv-reader","zsh","https://github.com/BurntSushi/xsv"
